a,b,c
0.02,-1.6252,-0.458
0.62,-1.6389,-0.47343
1.22,-1.6532,-0.48858
1.82,-1.6683,-0.50349
2.42,-1.6844,-0.51814
3.02,-1.7017,-0.53251
3.62,-1.7203,-0.54652
4.22,-1.7405,-0.56007
4.82,-1.7623,-0.57304
5.42,-1.7857,-0.58528
6.02,-1.811,-0.59661
6.62,-1.8382,-0.60686
7.22,-1.8674,-0.6158
7.82,-1.8988,-0.62316
8.42,-1.9327,-0.62863
9.02,-1.9693,-0.63181
9.62,-2.0091,-0.63223
10.22,-2.0526,-0.62928
10.82,-2.1005,-0.62222
11.42,-2.1537,-0.61013
12.02,-2.2131,-0.59196
12.62,-2.28,-0.56653
13.22,-2.3554,-0.5327
13.82,-2.4402,-0.48962
14.42,-2.5347,-0.43706
15.02,-2.6381,-0.37562
15.62,-2.7491,-0.30671
16.22,-2.8659,-0.23216
16.82,-2.9865,-0.15386
17.42,-3.1094,-0.073362
18.02,-3.2334,0.0081385
18.62,-3.3578,0.089841
19.22,-3.482,0.17123
19.82,-3.6057,0.252
20.42,-3.7287,0.33199
21.02,-3.851,0.41111
21.62,-3.9727,0.48934
22.22,-4.0935,0.5667
22.82,-4.2138,0.6432
23.42,-4.3334,0.7189
24.02,-4.4524,0.79383
24.62,-4.5709,0.86805
25.22,-4.689,0.9416
25.82,-4.8067,1.0145
26.42,-4.924,1.0869
27.02,-5.0411,1.1587
27.62,-5.1579,1.23
28.22,-5.2746,1.3008
28.82,-5.3911,1.3712
29.42,-5.5075,1.4412
