a,b,c
0.0002,0.017656,-0.0029297
0.0202,0.0097816,-0.00029411
0.0402,8.3136e-05,0.0025727
0.0602,-0.0093872,0.0046003
0.0802,-0.017344,0.0059657
0.1002,-0.023477,0.0067683
0.1202,-0.02784,0.0069787
0.1402,-0.02978,0.0067212
0.1602,-0.028658,0.0058485
0.1802,-0.02534,0.004295
0.2002,-0.019172,0.0020508
0.2202,-0.011568,-0.00081639
0.2402,-0.0026063,-0.003289
0.2602,0.0076543,-0.0050584
0.2802,0.016245,-0.0063601
0.3002,0.023155,-0.0069812
0.3202,0.028276,-0.0071054
0.3402,0.030311,-0.006681
0.3602,0.029989,-0.005752
0.3802,0.026419,-0.0041298
0.4002,0.020336,-0.0020813
0.4202,0.012587,0.00073341
0.4402,0.003195,0.0034292
0.4602,-0.0070391,0.0051037
0.4802,-0.015288,0.0063334
0.5002,-0.022156,0.0068779
0.5202,-0.027338,0.0068887
0.5402,-0.029837,0.0064146
0.5602,-0.029785,0.0051715
0.5802,-0.026771,0.0034405
0.6002,-0.021127,0.00078968
0.6202,-0.014039,-0.0020554
0.6402,-0.0055436,-0.0040407
0.6602,0.0047977,-0.0057617
0.6802,0.014274,-0.0067166
0.7002,0.021698,-0.0070833
0.7202,0.027239,-0.006943
0.7402,0.030188,-0.0062682
0.7602,0.030578,-0.0050323
0.7802,0.027992,-0.0032219
0.8002,0.02257,-0.00076047
0.8202,0.015277,0.0021415
0.8402,0.0063404,0.0044423
0.8602,-0.0043162,0.0059676
0.8802,-0.012956,0.0068345
0.9002,-0.020313,0.0070073
0.9202,-0.025886,0.0067849
0.9402,-0.028907,0.0060281
0.9602,-0.029651,0.0045782
0.9802,-0.02738,0.0024921
1.0002,-0.022706,-0.00052641
1.0202,-0.015871,-0.0031503
1.0402,-0.0077,-0.0050357
1.0602,0.0025386,-0.0064669
1.0802,0.011762,-0.0071316
1.1002,0.019664,-0.0072601
1.1202,0.025596,-0.0068998
1.1402,0.029468,-0.0060504
1.1602,0.030492,-0.0044178
1.1802,0.028748,-0.0023906
1.2002,0.023814,0.00048944
1.2202,0.016727,0.0034053
1.2402,0.008373,0.0052374
1.2602,-0.0019217,0.0065111
1.2802,-0.01113,0.0070624
1.3002,-0.018926,0.0071474
1.3202,-0.024968,0.0068005
1.3402,-0.028657,0.0056868
1.3602,-0.030156,0.0039021
1.3802,-0.028543,0.0011421
1.4002,-0.024798,-0.0020181
1.4202,-0.018104,-0.0040687
1.4402,-0.010304,-0.0058482
1.4602,-0.0006402,-0.0068329
1.4802,0.009294,-0.0072126
1.5002,0.017603,-0.0071406
1.5202,0.024216,-0.0065843
1.5402,0.029065,-0.0054037
1.5602,0.030943,-0.0033892
1.5802,0.029896,-0.00072605
1.6002,0.025923,0.0023469
1.6202,0.019194,0.0046845
1.6402,0.011225,0.0062011
1.6602,0.0016211,0.0070562
1.6802,-0.0084831,0.0073576
1.7002,-0.016669,0.0072125
1.7202,-0.023302,0.0064751
1.7402,-0.027984,0.0048935
1.7602,-0.030304,0.0026034
1.7802,-0.029814,-0.00060155
1.8002,-0.026309,-0.0032894
1.8202,-0.02033,-0.0052572
1.8402,-0.013036,-0.0066821
1.8602,-0.004194,-0.0073317
1.8802,0.0061337,-0.0075896
1.9002,0.015287,-0.0073392
1.9202,0.022405,-0.0065588
1.9402,0.028119,-0.0049107
1.9602,0.03068,-0.0026382
1.9802,0.030553,0.00034276
2.0002,0.027588,0.0032784
2.0202,0.021746,0.0051458
2.0402,0.014387,0.0064684
2.0602,0.005066,0.0072516
2.0802,-0.0053213,0.0075673
2.1002,-0.013989,0.0072559
2.1202,-0.02119,0.0061971
2.1402,-0.026775,0.0042272
2.1602,-0.029841,0.0014328
2.1802,-0.030099,-0.0017508
2.2002,-0.027307,-0.0039211
2.2202,-0.022199,-0.0057757
2.2402,-0.015453,-0.0069329
2.2602,-0.0072407,-0.0075415
2.2802,0.0028875,-0.007691
2.3002,0.01233,-0.0072344
2.3202,0.020151,-0.0061089
2.3402,0.026255,-0.0040465
2.3602,0.029927,-0.0015327
2.3802,0.030681,0.0015762
2.4002,0.02851,0.0040639
2.4202,0.023373,0.0056672
2.4402,0.016526,0.0068813
